index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2018-Q2,MSN,9184,-0.031,0.11,-6377,2808,-1498,1310,0.641,-0.031,-743,2535,2396,2215,9.157,1.714,,,,,,1993.0
2018-Q1,MSN,8274,-0.031,-0.186,-5512,2762,-1409,1352,0.653,-0.142,-757,1172,1022,816,2.443,-0.568,,,,,,2013.0
2017-Q4,MSN,10169,-0.227,0.078,-6776,3393,-1817,1576,-0.173,0.275,-913,2342,2141,1890,1.002,1.494,,,,,,2265.0
2017-Q3,MSN,9433,-0.143,-0.005,-6526,2906,-1670,1236,-0.232,0.549,-735,1092,948,758,-0.068,2.474,,,,,,1892.0
2017-Q2,MSN,9479,-0.086,0.11,-6616,2863,-2065,798,-0.505,-0.024,-895,353,255,218,-0.721,-0.08,,,,,,1425.0
2017-Q1,MSN,8540,-0.026,-0.351,-6070,2470,-1652,818,-0.086,-0.571,-892,351,263,237,-0.064,-0.749,,,,,,1457.0
2016-Q4,MSN,13149,0.143,0.195,-9075,4074,-2167,1906,0.077,0.184,-872,1427,1239,944,0.056,0.161,,,,,,2554.0
2016-Q3,MSN,11007,0.263,0.061,-7725,3282,-1671,1610,0.528,-0.001,-842,1227,1054,813,2.687,0.041,,,,,,2234.0
2016-Q2,MSN,10373,0.519,0.183,-7210,3162,-1551,1612,0.908,0.801,-709,1277,1087,781,1.173,2.083,,,,,,2187.0
2016-Q1,MSN,8769,1.446,-0.237,-6356,2412,-1517,895,1.073,-0.494,-688,515,393,253,57.186,-0.717,,,,,,1428.0
2015-Q4,MSN,11500,1.188,0.32,-7811,3688,-1919,1770,0.508,0.68,-726,1635,1361,894,-0.355,3.053,,,,,,2291.0
2015-Q3,MSN,8715,1.182,0.276,-6119,2596,-1542,1054,0.441,0.247,0,683,493,221,6.87,-0.386,,,,,,1564.0
2015-Q2,MSN,6829,0.656,0.905,-4488,2341,-1497,845,0.492,0.957,-971,752,615,359,,81.561,,,,,,1289.0
2015-Q1,MSN,3584,0.32,-0.318,-2401,1183,-751,432,1.001,-0.632,-400,158,57,4,,-0.997,,,,,,779.0
2014-Q4,MSN,5256,0.184,0.316,-2915,2341,-1167,1173,0.17,0.605,0,2158,1848,1385,6.757,48.439,,,,,,1193.0
2014-Q3,MSN,3994,0.235,-0.032,-2363,1631,-900,731,0.247,0.291,0,346,233,28,-0.756,,,,,,,1125.0
2014-Q2,MSN,4124,0.507,0.519,-2579,1545,-979,566,0.112,1.625,-484,98,-67,-227,,,,,,,,990.0
2014-Q1,MSN,2715,0.77,-0.388,-1632,1083,-867,216,,-0.785,-256,138,23,-107,,,,,,,,500.0
2013-Q4,MSN,4437,0.214,0.372,-2450,1987,-984,1003,0.122,0.711,0,941,687,179,0.31,0.558,,,,,,1150.0
2013-Q3,MSN,3235,0.21,0.182,-1841,1394,-808,586,0.151,0.151,0,493,309,115,-0.638,-0.156,,,,,,745.0
2013-Q2,MSN,2736,0.084,0.784,-1625,1111,-602,509,-0.06,,-51,464,266,136,-0.728,218.48,,,,,,618.0
2013-Q1,MSN,1534,-0.002,-0.58,-1027,507,-522,-15,,,-65,117,35,1,-0.998,-0.995,,,,,,90.0
2012-Q4,MSN,3654,0.3,0.367,-2124,1530,-636,894,0.284,0.754,-52,599,413,136,-0.848,-0.57,,,,,,993.0
2012-Q3,MSN,2673,0.899,0.059,-1589,1085,-575,510,0.644,-0.059,-66,620,481,317,-0.249,-0.365,,,,,,579.0
2012-Q2,MSN,2524,0.669,0.642,-1486,1038,-496,542,0.771,1.442,-48,770,674,499,0.584,0.427,,,,,,638.0
2012-Q1,MSN,1538,0.16,-0.453,-978,559,-337,222,-0.362,-0.681,-112,554,450,350,0.036,-0.609,,,,,,306.0
2011-Q4,MSN,2811,0.338,0.997,-1557,1253,-557,696,0.532,1.246,-82,1273,1134,895,-0.566,1.12,,,,,,738.0
2011-Q3,MSN,1407,0.002,-0.07,-784,623,-313,310,-0.108,0.013,-79,634,548,422,0.784,0.339,,,,,,336.0
2011-Q2,MSN,1513,0.243,0.141,-900,613,-307,306,-0.009,-0.121,-76,537,435,315,0.314,-0.067,,,,,,332.0
2011-Q1,MSN,1326,0.538,-0.369,-759,567,-219,348,2.114,-0.234,-84,434,389,338,2.498,-0.836,,,,,,377.0
2010-Q4,MSN,2100,0.552,0.495,-1167,934,-479,454,0.906,0.307,0,2282,2227,2062,10.567,7.715,,,,,,477.0
2010-Q3,MSN,1405,0.235,0.155,-794,611,-263,347,2.6,0.125,0,373,323,237,4.01,-0.014,,,,,,378.0
2010-Q2,MSN,1217,,0.411,-687,530,-221,309,,1.764,0,339,321,240,,1.484,,,,,,277.0
2010-Q1,MSN,862,,-0.363,-540,323,-211,112,,-0.531,0,141,124,97,,-0.458,,,,,,194.0
2009-Q4,MSN,1353,,0.19,-861,492,-254,238,,1.469,0,276,255,178,,2.775,,,,,,307.0
2009-Q3,MSN,1137,,,-754,383,-287,97,,,0,110,100,47,,,,,,,,
