index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2018-Q1,APG,2,0.434,-0.765,-1,1,-1.0,0.0,,-0.998,0.0,0,0,0,,-0.997,,,,,,0.0
2017-Q4,APG,8,82.509,3.277,-1,7,-3.0,4.0,37.696,20.613,0.0,4,4,4,45.51,25.567,,,,,,4.0
2017-Q3,APG,2,0.047,-0.789,-1,1,-1.0,0.0,-0.336,-0.97,0.0,0,0,0,,-0.972,,,,,,0.0
2017-Q2,APG,9,3.291,5.742,-1,7,-1.0,6.0,117.16,,0.0,6,5,5,86.055,,,,,,,6.0
2017-Q1,APG,1,-0.204,12.7,0,1,-1.0,0.0,,,0.0,0,0,0,,,,,,,,0.0
2016-Q4,APG,0,-0.997,-0.946,1,1,-1.0,0.0,-0.996,-0.629,0.0,0,0,0,-0.997,,,,,,,0.0
2016-Q3,APG,2,0.115,-0.134,0,1,-1.0,0.0,3.265,4.379,0.0,0,0,0,,,,,,,,0.0
2016-Q2,APG,2,1.661,0.25,-1,1,-1.0,0.0,,2.74,0.0,0,0,0,,2.933,,,,,,
2016-Q1,APG,2,-0.368,-0.94,0,1,-1.0,0.0,,-0.999,0.0,0,0,0,-0.986,-0.999,,,,,,0.0
2015-Q4,APG,27,18.781,16.123,-1,26,-1.0,26.0,,392.245,,26,26,26,2.544,393.352,,,,,,26.0
2015-Q3,APG,2,-0.136,1.066,0,1,-1.0,0.0,,,,0,0,0,-0.421,,,,,,,0.0
2015-Q2,APG,1,-0.242,-0.703,-2,-1,-1.0,-2.0,,,,-2,-2,-2,,,,,,,,-2.0
2015-Q1,APG,3,0.16,0.884,0,2,,,,,,1,1,1,0.126,-0.868,,,,,,
2014-Q4,APG,1,-0.705,-0.252,10,11,,,,,,7,7,7,1.525,63.409,,,,,,
2014-Q3,APG,2,-0.546,0.813,0,2,,,,,,0,0,0,-0.935,,,,,,,
2014-Q2,APG,1,-0.316,-0.546,0,1,,,,,,0,0,0,,,,,,,,
2014-Q1,APG,2,0.385,-0.521,0,2,,,,,,1,1,1,0.289,-0.704,,,,,,
2013-Q4,APG,5,1.822,0.151,-1,4,,,,,,3,3,3,,0.655,,,,,,
2013-Q3,APG,4,1.701,1.733,-1,3,,,,,,2,2,2,,,,,,,,
2013-Q2,APG,1,-0.387,-0.081,-3,-1,,,,,,0,0,0,,,,,,,,
2013-Q1,APG,2,-0.175,-0.024,0,2,,,,,,1,1,1,0.521,,,,,,,
2012-Q4,APG,2,-0.229,0.101,-3,-1,,,,,,-4,-4,-4,,,,,,,,
2012-Q3,APG,2,-0.507,-0.38,-1,1,,,,,,-1,-1,-1,,,,,,,,
2012-Q2,APG,2,-0.29,0.237,5,7,,,,,,5,5,5,,10.185,,,,,,
2012-Q1,APG,2,-0.486,-0.087,1,3,,,,,,0,0,0,3.459,,,,,,,
2011-Q4,APG,2,-0.762,-0.296,-32,-30,-3.0,-33.0,,,0.0,-33,-33,-33,,,,,,,,-33.0
2011-Q3,APG,3,-0.54,-0.107,-2,1,,,,,,-2,-2,-2,,,,,,,,
2011-Q2,APG,3,-0.785,-0.104,-2,1,,,,,,-3,-3,-3,,,,,,,,
2011-Q1,APG,4,-0.633,-0.578,-1,2,,,,,,0,0,0,-0.971,,,,,,,
2010-Q4,APG,9,-0.482,0.361,-10,-1,,,,,,-4,-3,-3,,,,,,,,
2010-Q3,APG,7,,-0.582,-1,5,,,,,,3,2,2,,-0.758,,,,,,
2010-Q2,APG,16,,0.524,-2,14,-3.0,11.0,,,0.0,10,8,8,,1.38,,,,,,
2010-Q1,APG,10,,-0.404,-3,7,,,,,,4,3,3,,-0.839,,,,,,
2009-Q4,APG,17,,,8,26,,,,,,23,21,21,,,,,,,,
