index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2019-Q4,SAB,9729,-0.065,-0.002,-7182,2547,-1421,1126,0.252,-0.225,-18,1429,1091,1008,0.168,-0.273,,,,,,1296
2019-Q3,SAB,9745,0.138,0.072,-7347,2399,-945,1454,0.435,-0.083,-6,1801,1459,1386,0.422,-0.036,,,,,,1613
2019-Q2,SAB,9088,-0.009,-0.027,-6674,2414,-827,1586,0.205,0.19,-6,1872,1530,1438,0.175,0.178,,,,,,1745
2019-Q1,SAB,9337,0.196,-0.103,-7146,2191,-858,1333,0.136,0.482,-8,1584,1290,1221,0.096,0.414,,,,,,1492
2018-Q4,SAB,10406,-0.009,0.215,-8222,2184,-1284,900,-0.249,-0.112,-8,1133,919,863,-0.263,-0.115,,,,,,1061
2018-Q3,SAB,8563,0.063,-0.066,-6703,1860,-847,1013,-0.169,-0.23,-9,1276,1035,975,-0.112,-0.203,,,,,,1172
2018-Q2,SAB,9170,0.121,0.174,-7073,2096,-781,1316,-0.08,0.121,-8,1570,1291,1223,-0.07,0.099,,,,,,1473
2018-Q1,SAB,7810,0.046,-0.256,-5866,1944,-771,1173,-0.078,-0.02,-10,1409,1156,1114,-0.012,-0.049,,,,,,1330
2017-Q4,SAB,10496,0.188,0.303,-8040,2456,-1259,1197,0.416,-0.017,-9,1553,1230,1171,0.263,0.067,,,,,,1366
2017-Q3,SAB,8055,0.139,-0.015,-5930,2125,-907,1219,0.089,-0.147,-11,1411,1152,1098,-0.106,-0.165,,,,,,1368
2017-Q2,SAB,8178,0.075,0.096,-6010,2168,-739,1430,-0.046,0.123,-13,1665,1379,1315,-0.04,0.167,,,,,,1587
2017-Q1,SAB,7465,0.047,-0.155,-5349,2116,-843,1273,0.121,0.505,-11,1448,1188,1127,0.187,0.215,,,,,,1430
2016-Q4,SAB,8834,1.783,0.249,-6575,2258,-1412,846,0.657,-0.244,-19,1196,997,927,0.802,-0.245,,,,,,846
2016-Q3,SAB,7073,-0.27,-0.07,-5119,1954,-835,1119,-0.04,-0.253,-62,1526,1273,1228,0.175,-0.104,,,,,,1274
2016-Q2,SAB,7605,-0.11,0.067,-5451,2154,-655,1499,0.592,0.32,-31,1759,1402,1370,0.53,0.444,,,,,,1677
2016-Q1,SAB,7131,0.242,1.246,-5227,1904,-768,1136,-0.009,1.224,-16,1226,983,949,-0.006,0.844,,,,,,1277
2015-Q4,SAB,3174,-0.531,-0.672,-1344,1831,-1320,511,0.609,-0.562,-18,744,661,515,0.554,-0.508,,,,,,667
2015-Q3,SAB,9684,0.536,0.134,-7708,1977,-811,1166,0.176,0.238,-18,1327,1063,1046,0.069,0.168,,,,,,1333
2015-Q2,SAB,8543,0.193,0.488,-6518,2025,-1084,942,0.016,-0.179,-20,1146,895,895,0.126,-0.062,,,,,,1098
2015-Q1,SAB,5743,0.178,-0.151,-4017,1725,-579,1146,0.128,2.613,-21,1252,980,955,0.142,1.882,,,,,,1302
2014-Q4,SAB,6765,-0.068,0.073,-4352,2412,-2095,317,1.236,-0.68,-23,535,317,331,12.949,-0.661,,,,,,466
2014-Q3,SAB,6304,0.071,-0.12,-4293,2011,-1020,991,0.131,0.069,-24,1201,1028,978,0.289,0.23,,,,,,1144
2014-Q2,SAB,7163,,0.469,-5567,1596,-669,927,,-0.088,-28,1078,819,795,,-0.048,,,,,,1071
2014-Q1,SAB,4876,,-0.328,-3424,1452,-435,1016,,6.166,-32,1104,885,835,,34.19,,,,,,1154
2013-Q4,SAB,7261,,0.233,-5550,1712,-1570,142,,-0.838,-21,298,-38,24,,-0.969,,,,,,260
2013-Q3,SAB,5887,,,-4438,1449,-572,876,,,-30,976,775,759,,,,,,,,1012
