index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2014-Q3,CTG,4509,-0.026,0.003,,,-2773,5156,-0.127,0.061,,1607,1251,1248,-0.429,-0.337,221,247,178,-775,2383,
2014-Q2,CTG,4495,-0.037,0.064,,,-1754,4861,-0.094,-0.025,,2415,1884,1882,-0.091,0.657,33,428,-95,-693,3108,
2014-Q1,CTG,4224,-0.091,-0.025,,,-2505,4988,-0.056,-0.046,,1458,1140,1136,0.092,1.28,181,393,190,-1025,2483,
2013-Q4,CTG,4333,-0.078,-0.064,,,-3056,5227,-0.102,-0.115,,706,502,498,-0.63,-0.772,64,435,394,-1465,2171,
2013-Q3,CTG,4630,-0.011,-0.008,,,-2199,5906,0.05,0.101,,2910,2190,2187,-0.193,0.056,163,421,692,-797,3707,
2013-Q2,CTG,4667,-0.004,0.005,,,-2085,5366,-0.021,0.016,,2767,2075,2070,2.627,0.991,131,366,202,-515,3281,
2013-Q1,CTG,4646,0.066,-0.012,,,-2567,5284,0.048,-0.092,,1370,1042,1040,-0.323,-0.228,150,304,184,-1346,2716,
2012-Q4,CTG,4702,-0.12,0.005,,,-2375,5822,-0.031,0.036,,1896,1351,1347,-0.239,-0.503,298,330,491,-1551,3447,
2012-Q3,CTG,4680,-0.126,-0.001,,,-1666,5622,-0.015,0.026,,3490,2712,2708,0.715,3.746,426,250,266,-466,3956,
2012-Q2,CTG,4685,-0.092,0.075,,,-3214,5479,-0.046,0.087,,775,576,571,-0.703,-0.628,167,319,308,-1490,2265,
2012-Q1,CTG,4359,0.038,-0.185,,,-2178,5040,-0.008,-0.162,,2017,1540,1535,0.541,-0.133,189,299,193,-845,2862,
2011-Q4,CTG,5345,0.427,-0.002,,,-895,6011,0.21,0.053,,2409,1779,1771,2.161,0.121,-2,351,316,-2707,5116,
2011-Q3,CTG,5357,0.78,0.039,,,-3177,5711,0.616,-0.006,,2063,1582,1579,0.288,-0.177,84,-5,275,-471,2534,
2011-Q2,CTG,5157,0.676,0.228,,,-3267,5744,0.618,0.13,,2732,1922,1918,1.896,0.926,-11,322,275,255,2477,
2011-Q1,CTG,4201,0.868,0.122,,,-1938,5083,0.851,0.023,,1162,997,996,0.012,0.778,224,388,270,-1983,3145,
2010-Q4,CTG,3745,0.515,0.244,,,-2150,4970,0.868,0.406,,878,570,560,-0.255,-0.543,-218,478,964,-1942,2820,
2010-Q3,CTG,3010,0.441,-0.022,,,-1678,3534,0.197,-0.005,,1485,1220,1226,1.796,0.851,65,181,278,-370,1855,
2010-Q2,CTG,3077,0.681,0.368,,,-2119,3550,0.53,0.293,,1006,665,662,0.721,-0.327,-43,372,144,-425,1431,
2010-Q1,CTG,2249,0.363,-0.09,,,-1294,2746,0.422,0.032,,1171,988,984,-0.183,0.308,132,316,49,-281,1453,
2009-Q4,CTG,2472,,0.184,,,-2146,2660,,-0.099,,596,755,752,,0.715,-70,244,15,82,514,
2009-Q3,CTG,2088,,0.14,,,-1381,2953,,0.272,,839,451,439,,0.14,103,169,592,-732,1572,
2009-Q2,CTG,1831,,0.109,,,-1527,2321,,0.202,,873,385,385,,-0.681,146,149,195,79,794,
2009-Q1,CTG,1651,,,,,-725,1931,,,,1206,1205,1205,,,30,113,137,0,1206,
