index,ticker,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
2020-Q1,VNM,14153,0.073,-0.006,-7547,6606,-3393,3212,0.002,0.286,-42,3358,2777,2765,-0.009,0.256,,,,,,3768.0
2019-Q4,VNM,14239,0.095,-0.004,-7559,6680,-4183,2497,0.011,-0.198,-36,2649,2176,2202,-0.043,-0.182,,,,,,3000.0
2019-Q3,VNM,14291,0.04,-0.021,-7568,6723,-3610,3113,0.113,-0.075,-28,3254,2677,2690,0.051,-0.072,,,,,,3607.0
2019-Q2,VNM,14599,0.065,0.107,-7585,7014,-3648,3366,0.116,0.05,-25,3550,2904,2899,0.087,0.039,,,,,,3844.0
2019-Q1,VNM,13189,0.088,0.014,-7034,6155,-2949,3206,0.095,0.297,-20,3343,2797,2791,0.033,0.214,,,,,,3679.0
2018-Q4,VNM,13004,0.053,-0.053,-6841,6163,-3691,2471,0.318,-0.116,-14,2680,2284,2299,0.318,-0.102,,,,,,2907.0
2018-Q3,VNM,13735,0.033,0.002,-7242,6494,-3698,2796,-0.076,-0.073,-12,3034,2560,2560,-0.05,-0.04,,,,,,3206.0
2018-Q2,VNM,13702,0.027,0.131,-7234,6469,-3452,3017,-0.071,0.03,-17,3161,2678,2666,-0.088,-0.013,,,,,,3412.0
2018-Q1,VNM,12121,0.006,-0.019,-6634,5487,-2559,2928,-0.108,0.561,-9,3176,2683,2701,-0.08,0.548,,,,,,3313.0
2017-Q4,VNM,12350,0.046,-0.071,-6746,5604,-3728,1876,-0.058,-0.38,-5,2086,1729,1745,-0.046,-0.352,,,,,,2237.0
2017-Q3,VNM,13293,0.089,-0.004,-7023,6270,-3246,3024,0.041,-0.069,-7,3223,2697,2694,0.057,-0.078,,,,,,3337.0
2017-Q2,VNM,13348,0.072,0.108,-6807,6541,-3292,3248,0.021,-0.01,-4,3444,2917,2922,0.038,-0.004,,,,,,3563.0
2017-Q1,VNM,12049,0.166,0.02,-6230,5819,-2538,3282,0.342,0.648,-13,3476,2935,2935,0.361,0.605,,,,,,3593.0
2016-Q4,VNM,11808,0.064,-0.033,-6327,5480,-3489,1991,-0.055,-0.314,-20,2204,1828,1829,-0.035,-0.282,,,,,,2297.0
2016-Q3,VNM,12205,0.157,-0.02,-7119,5085,-2181,2905,0.179,-0.087,-10,3045,2549,2549,0.194,-0.095,,,,,,3204.0
2016-Q2,VNM,12449,0.186,0.205,-7076,5373,-2191,3182,0.301,0.301,-9,3362,2824,2815,0.288,0.305,,,,,,3478.0
2016-Q1,VNM,10333,0.186,-0.069,-5306,5027,-2581,2446,0.392,0.161,-8,2627,2162,2157,0.386,0.138,,,,,,2735.0
2015-Q4,VNM,11099,0.189,0.052,-6682,4416,-2309,2107,0.112,-0.145,-9,2286,1901,1896,0.096,-0.112,,,,,,2390.0
2015-Q3,VNM,10549,0.208,0.005,-6199,4350,-1886,2464,0.594,0.008,-8,2554,2123,2135,0.552,-0.023,,,,,,2740.0
2015-Q2,VNM,10500,0.137,0.205,-6113,4387,-1942,2445,0.356,0.392,-7,2622,2186,2185,0.387,0.404,,,,,,2716.0
2015-Q1,VNM,8716,0.135,-0.066,-5607,3109,-1352,1757,0.117,-0.073,-8,1905,1560,1557,0.122,-0.1,,,,,,2023.0
2014-Q4,VNM,9335,0.142,0.069,-5785,3550,-1656,1895,0.219,0.225,-9,2177,1730,1730,0.177,0.257,,,,,,2158.0
2014-Q3,VNM,8731,0.088,-0.054,-5703,3029,-1483,1546,-0.19,-0.143,-7,1723,1367,1376,-0.186,-0.126,,,,,,1807.0
2014-Q2,VNM,9232,0.144,0.202,-6067,3165,-1362,1804,-0.135,0.147,-12,1970,1577,1575,-0.145,0.136,,,,,,2060.0
2014-Q1,VNM,7678,0.15,-0.061,-5114,2565,-992,1573,-0.101,0.012,-11,1743,1394,1387,-0.094,-0.056,,,,,,1825.0
2013-Q4,VNM,8174,0.159,0.018,-5505,2669,-1115,1554,-0.073,-0.185,0,1840,1470,1470,-0.108,-0.13,,,,,,1788.0
2013-Q3,VNM,8028,0.213,-0.005,-5093,2935,-1027,1908,0.193,-0.085,0,2056,1690,1690,0.211,-0.083,,,,,,2125.0
2013-Q2,VNM,8070,0.151,0.209,-4948,3122,-1038,2084,0.254,0.191,0,2247,1843,1843,0.224,0.204,,,,,,2266.0
2013-Q1,VNM,6676,0.136,-0.054,-4220,2456,-707,1749,0.38,0.044,0,1868,1531,1531,0.205,-0.071,,,,,,1903.0
2012-Q4,VNM,7055,0.181,0.066,-4541,2514,-838,1676,0.641,0.048,0,1894,1648,1648,0.581,0.181,,,,,,1822.0
2012-Q3,VNM,6619,0.162,-0.056,-4277,2342,-742,1600,0.525,-0.038,-1,1666,1395,1395,0.313,-0.073,,,,,,1740.0
2012-Q2,VNM,7011,0.293,0.193,-4589,2422,-759,1662,0.422,0.311,-3,1830,1506,1506,0.36,0.185,,,,,,1791.0
2012-Q1,VNM,5876,0.296,-0.017,-4077,1800,-532,1268,0.177,0.242,0,1540,1270,1270,0.262,0.219,,,,,,1388.0
2011-Q4,VNM,5975,0.443,0.049,-4271,1704,-683,1021,0.509,-0.027,0,1227,1042,1042,0.426,-0.019,,,,,,
2011-Q3,VNM,5697,0.302,0.051,-4024,1673,-624,1049,0.167,-0.103,-8,1258,1062,1062,-0.065,-0.04,,,,,,1154.0
2011-Q2,VNM,5420,0.36,0.195,-3719,1702,-533,1169,0.234,0.085,-7,1308,1107,1107,0.189,0.1,,,,,,1272.0
2011-Q1,VNM,4535,0.395,0.096,-3026,1509,-432,1078,0.307,0.593,-4,1186,1006,1006,0.231,0.377,,,,,,1172.0
2010-Q4,VNM,4140,0.441,-0.054,-2868,1272,-596,677,0.151,-0.247,0,839,731,731,0.215,-0.357,,,,,,762.0
2010-Q3,VNM,4376,0.46,0.098,-2980,1396,-498,899,0.223,-0.051,0,1358,1137,1137,0.556,0.221,,,,,,1104.0
2010-Q2,VNM,3987,0.49,0.227,-2622,1365,-418,947,0.519,0.149,0,1086,931,931,0.678,0.139,,,,,,1012.0
2010-Q1,VNM,3250,0.571,0.131,-2110,1140,-315,825,1.093,0.403,0,968,817,818,0.685,0.359,,,,,,890.0
2009-Q4,VNM,2873,0.276,-0.041,-1811,1062,-474,588,1.885,-0.2,0,712,600,601,1.891,-0.177,,,,,,
2009-Q3,VNM,2998,0.418,0.121,-1857,1141,-406,735,1.157,0.178,0,867,731,731,1.18,0.317,,,,,,
2009-Q2,VNM,2675,0.296,0.293,-1670,1005,-381,624,0.417,0.583,0,583,564,555,0.426,0.143,,,,,,
2009-Q1,VNM,2069,0.144,-0.081,-1398,671,-277,394,0.348,0.933,0,573,485,485,0.569,1.332,,,,,,448.0
2008-Q4,VNM,2252,0.204,0.065,-1593,659,-456,204,0.175,-0.402,0,238,212,208,-0.018,-0.379,,,,,,
2008-Q3,VNM,2115,0.151,0.025,-1424,690,-350,341,1.008,-0.226,0,372,337,335,0.825,-0.138,,,,,,
2008-Q2,VNM,2064,0.19,0.141,-1332,732,-292,440,1.155,0.506,-11,431,389,389,0.566,0.258,,,,,,
2008-Q1,VNM,1808,0.31,-0.033,-1254,554,-262,292,1.343,0.684,-8,345,309,309,-0.043,0.459,,,,,,326.0
2007-Q4,VNM,1870,-0.003,0.018,-1370,501,-327,173,3.001,0.023,0,204,212,212,0.3,0.154,,,,,,
2007-Q3,VNM,1837,-0.044,0.06,-1345,492,-323,170,0.011,-0.169,-3,184,184,184,0.223,-0.261,,,,,,
2007-Q2,VNM,1734,0.128,0.256,-1252,482,-278,204,-0.069,0.637,-2,248,248,248,0.103,-0.232,,,,,,
2007-Q1,VNM,1380,0.074,-0.265,-989,391,-266,125,-0.211,1.876,-2,323,323,323,0.658,0.984,,,,,,
2006-Q4,VNM,1877,0.712,-0.023,-1520,357,-313,43,-0.654,-0.742,0,163,163,163,0.28,0.085,,,,,,
2006-Q3,VNM,1921,,0.25,-1449,472,-304,168,,-0.235,0,150,150,150,,-0.333,,,,,,
2006-Q2,VNM,1537,,0.196,-1096,441,-221,219,,0.388,-3,228,225,225,,0.155,,,,,,
2006-Q1,VNM,1285,,0.172,-948,337,-179,158,,0.263,-1,195,195,195,,0.532,,,,,,
2005-Q4,VNM,1096,0.179,,-839,258,-133,125,0.734,,0,127,127,127,0.485,,,,,,,
2005-Q3,VNM,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2005-Q2,VNM,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2005-Q1,VNM,0,,,0,0,0,0,,,0,0,0,0,,,,,,,,
2004-Q4,VNM,930,,,-709,221,-148,72,,,-5,86,86,86,,,,,,,,
